,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Eliot Brown,"Ghost Kitchens Are Proving to Be a Messy Business, as Reef Global Shows - The Wall Street Journal",Local regulations and higher costs are among the challenges facing the hot sector of delivery-only kitchen space,https://www.wsj.com/articles/ghost-kitchens-are-proving-to-be-a-messy-business-as-reef-global-shows-11638187201,https://images.wsj.net/im-425753/social,2021-11-29T12:00:00Z,"A few seconds after a cook turned on a stove in a tiny mobile kitchen in a Houston parking lot in April, a fireball erupted from the propane burners, flaring out into the center of the trailer owned … [+540 chars]",the-wall-street-journal,The Wall Street Journal
1,,Cyber Daily: FBI Calls for Firms to Report Hacks Directly to Law Enforcement - The Wall Street Journal,A top cyber official with the Federal Bureau of Investigation urged lawmakers to require certain businesses to disclose cyberattacks directly to law enforcement.,https://www.wsj.com/articles/cyber-daily-fbi-calls-for-firms-to-report-hacks-directly-to-law-enforcement-11637158386,https://s.wsj.net/img/meta/wsj-social-share.png,2021-11-17T14:20:00Z,Good morning. A top cyber official with the Federal Bureau of Investigation urged lawmakers to require certain businesses to disclose cyberattacks directly to law enforcement.Bills circulating on Cap… [+4668 chars],the-wall-street-journal,The Wall Street Journal
2,"David Uberti, James Rundle",Cybersecurity Companies Are Raking in Millions. Many Don't Turn Profits. - The Wall Street Journal,Rising share prices in the sector reflect investors’ thirst for revenue growth above other metrics,https://www.wsj.com/articles/cybersecurity-companies-are-raking-in-millions-many-dont-turn-profits-11636104601,https://images.wsj.net/im-429665/social,2021-11-08T03:11:00Z,"Mark McClain,
chief executive of cybersecurity firm
SailPoint
Technologies Holdings Inc., has what he calls an old-school mind-set: Companies cant lose money forever. But even though his business … [+8362 chars]",the-wall-street-journal,The Wall Street Journal
