,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Akhil Ramesh, opinion contributor",The US can't go back to business as usual with Pakistan | TheHill - The Hill,Washington is back to its old ways of counting on its frenemy Pakistan for its war on terror in Afghanistan and Pakistan continues with its time-tested strategy of running with the hare and hunting with the hounds.,https://thehill.com/opinion/international/579371-the-us-cant-go-back-to-business-as-usual-with-pakistan,https://thehill.com/sites/default/files/article_images/pakistan_military_parade_03252021_1.jpg,2021-11-01T16:01:03Z,"The old saying says insanity is doing the same thing and expecting different results. American foreign policy regarding Afghanistan and Pakistan can be characterized as that insanity. 
With the 20-y… [+4856 chars]",the-hill,The Hill
1,Brad Dress,68 dead in Ecuador prison clash,Sixty-eight inmates in an Ecuador prison are dead following a gun battle between rival gangs inside the nation's largest penitentiary.Violence erupted at the Litoral Penitentiary between two prison gangs connected...,https://thehill.com/homenews/news/581426-58-dead-in-ecuador-prison-clash,https://thehill.com/sites/default/files/article_images/ecuadorprison_111321_ap.png,2021-11-13T19:31:17Z,"Sixty-eight inmates in an Ecuador prison are dead following a gun battle between rival gangs inside the nation's largest penitentiary. 
Violence erupted at the Litoral Penitentiary between two priso… [+1306 chars]",the-hill,The Hill
2,Alex Gangitano,White House announces suicide prevention efforts,"The Biden administration on Tuesday announced a new plan to prevent suicide, including safe storage of guns and best practices for gun sales, with a focus on those in the military and veterans.The White House relea...",https://thehill.com/homenews/administration/579593-white-house-announces-suicide-prevention-efforts-focuses-on-military,https://thehill.com/sites/default/files/ca_guns_070120getty.jpg,2021-11-02T15:31:03Z,"The Biden administration on Tuesday announced a new plan to prevent suicide, including safe storage of guns and best practices for gun sales, with a focus on those in the military and veterans.
The … [+2336 chars]",the-hill,The Hill
3,Mychael Schnell,Iraqi officials blaming Iran-backed militia for assassination attempt: report,Iraqi officials are reportedly blaming an Iran-backed militia group for the assassination attempt of Iraq's Prime Minister Mustafa al-Kadhimi....,https://thehill.com/policy/international/580565-iraqi-officials-blaming-iran-backed-militia-for-assassination-attempt,https://thehill.com/sites/default/files/kadhimimustafa_10202020_1.jpg,2021-11-08T18:08:49Z,"Iraqi officials are reportedly blaming an Iran-backed militia group for the assassination attempt of Iraqs Prime Minister Mustafa al-Kadhimi.
Reuters reported on Monday, citing Iraqi security offici… [+3332 chars]",the-hill,The Hill
4,Caroline Vakil,"Iraqi prime minister survives drone attack, officials say","Iraqi Prime Minister Mustafa al-Kadhimi survived an alleged assassination attempt on Sunday, local time, two Iraqi officials ...",https://thehill.com/policy/international/580420-iraqi-prime-minister-survives-assassination-attempt-officials-say,https://thehill.com/sites/default/files/kadhimimustafa_10202020_1.jpg,2021-11-07T02:59:33Z,"Iraqi Prime Minister Mustafa al-Kadhimi survived an alleged assassination attempt on Sunday, local time, two Iraqi officials told The Associated Press. 
The rockets of treason will not shake one bit… [+1733 chars]",the-hill,The Hill
5,Ellen Mitchell,Defense & National Security,"It's Wednesday, welcome to Overnight Defense & National Security, your nightly guide to the latest developments at the Pentagon, on Capitol Hill and beyond. Subscribe here: ...",https://thehill.com/policy/defense/overnights/579977-defense-national-security,https://thehill.com/sites/default/files/article_images/iranflag_030121getty.jpg,2021-11-04T00:01:37Z,"It's Wednesday, welcome to Overnight Defense &amp; National Security, your nightly guide to the latest developments at the Pentagon, on Capitol Hill and beyond. Subscribe here: thehill.com/newsletter… [+10159 chars]",the-hill,The Hill
6,Cristina Marcos,Greene accrues at least $15.5K in fines for defying House mask mandate,"Rep. Marjorie Taylor Greene (R-Ga.) has been fined at least seven times for refusing to wear a mask on the House floor, meaning she has accrued $15,500 worth of penalties to date, according to a Monday disclosu...",https://thehill.com/homenews/house/579462-greene-accrues-at-least-155k-in-fines-for-defying-house-mask-mandate,https://thehill.com/sites/default/files/taylorgreenemarjorie_082321gn_lead.jpg,2021-11-01T19:38:20Z,Rep. Marjorie Taylor GreeneMarjorie Taylor GreeneGOP efforts to downplay danger of Capitol riot increaseThe Memo: What now for anti-Trump Republicans?Rep. Marjorie Taylor Greene says she's meeting wi… [+5599 chars],the-hill,The Hill
7,Cristina Marcos,Greene accrues at least $48K in fines for ignoring House mask mandate,"Rep. Marjorie Taylor Greene (R-Ga.) has been reprimanded by the House sergeant-at-arms at least 20 times this year for refusing to wear a mask in the chamber, which has added up to $48,000 worth of associated f...",https://thehill.com/homenews/house/579462-greene-accrues-at-least-48k-in-fines-for-defying-house-mask-mandate,https://thehill.com/sites/default/files/taylorgreenemarjorie_082321gn_lead.jpg,2021-11-01T19:38:20Z,Rep. Marjorie Taylor GreeneMarjorie Taylor GreeneGOP efforts to downplay danger of Capitol riot increaseThe Memo: What now for anti-Trump Republicans?Rep. Marjorie Taylor Greene says she's meeting wi… [+6243 chars],the-hill,The Hill
