,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Yacob Reyes,DOJ to ramp up prosecution of unruly airline passengers,"The Justice Department directed U.S. attorneys on Wednesday to prioritize the prosecution of airline passengers who have committed federal crimes aboard aircraft. Why it matters: The department's statement comes amid a surge in unruly passengers incidents, wi…",https://www.axios.com/justice-department-prosecution-unruly-passengers-c397e416-3499-4c2e-886e-b7f8fd214298.html,https://images.axios.com/JUfaBxWYrWA07yuwKNFnf7uIJJE=/0x820:7839x5229/1366x768/2021/11/24/1637795833116.jpg,2021-11-24T23:31:10Z,"Eight airline passengers are facing fines totaling more than $160,000 for violations of alcohol and face mask rules aboard planes  including an individual penalty of over $40,000.
Why it matters: Th… [+218 chars]",axios,Axios
1,Rebecca Falconer,"FAA says 8 unruly passengers face $160,000 in fines for alcohol and mask related violations","Eight airline passengers are facing fines totaling more than $160,000 for violations of alcohol and face mask rules aboard planes — including an individual penalty of over $40,000.Why it matters: There have been more than 5,000 unruly passenger reports this y…",https://www.axios.com/faa-unruly-passengers-160000-fines-alcohol-related-586b1e33-09b5-47a6-aa6d-18c7baf90dee.html,https://images.axios.com/fzMLknlnzZZOJ31K2v88_L_BgI4=/0x0:5000x2812/1366x768/2021/11/24/1637717679045.jpg,2021-11-24T02:38:47Z,"Eight airline passengers are facing fines totaling more than $160,000 for violations of alcohol and face mask rules aboard planes  including an individual penalty of over $40,000.
Why it matters: Th… [+1794 chars]",axios,Axios
2,Axios,"FAA refers ""most egregious"" of 37 unruly passenger cases to FBI for criminal review","The Federal Aviation Administration announced Thursday that it has referred 37 of the ""most egregious"" unruly passenger cases to the FBI for potential criminal prosecution.Why it matters: Flight crews have faced record numbers of hostile passengers, as travel…",https://www.axios.com/faa-refers-37-unruly-passengers-fbi-criminal-review-3c697204-57fc-45c7-a59a-9ea1b21597f5.html,https://images.axios.com/T0pqvReVQuOlvZ0HV_fJDzG_WXo=/0x535:5137x3425/1366x768/2021/11/05/1636094775600.jpg,2021-11-05T07:22:49Z,"The Federal Aviation Administration announced Thursday that it has referred 37 of the ""most egregious"" unruly passenger cases to the FBI for potential criminal prosecution.
Why it matters: Flight cr… [+2784 chars]",axios,Axios
