,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Associated Press,Ecuadorian prison clash leaves at least 52 dead: police - Fox News,"Clashes inside Ecuador's largest prison early Saturday left at least 52 inmates dead in the latest violence to hit the Litoral Penitentiary, which recently saw what authorities said was the country's worst ever prison bloodbath.",https://www.foxnews.com/world/ecuadorian-prison-clash-leaves-at-least-52-dead-police,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/Ecuador-Prison-Deaths-2.jpg,2021-11-13T17:54:29Z,"QUITO, Ecuador (AP) Clashes inside Ecuador's largest prison early Saturday left at least 52 inmates dead in the latest violence to hit the Litoral Penitentiary, which recently saw what authorities sa… [+2637 chars]",fox-news,Fox News
1,Jon Brown,Fire marshals arrest suspect for allegedly hurling Molotov cocktails into Brooklyn deli,Fire Marshals with the New York City Fire Department (FDNY) arrested a suspect Sunday who allegedly used improvised incendiary devices that damaged a deli in Brooklyn.,https://www.foxnews.com/us/fire-marshals-arrest-suspect-for-allegedly-hurling-molotov-cocktails-into-brooklyn-deli,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/fdny-getty-images.jpg,2021-11-01T01:24:48Z,"Fire Marshals with the New York City Fire Department (FDNY) arrested a suspect Sunday who allegedly used improvised incendiary devices that damaged a deli in Brooklyn.
Fire Marshals arrested 38-year… [+1187 chars]",fox-news,Fox News
2,Emmett Jones,Five Georgia men sent to prison for burning cop car during George Floyd protest,Five men have been sentenced to more than a year in federal prison for burning a police car in Georgia during a protest against the killing of George Floyd.,https://www.foxnews.com/us/five-men-sentence-federal-prison-setting-cop-car-fire-george-floyd-protest,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/five-men-sentence-setting-police-car-fire-georgia.jpg,2021-11-20T16:00:03Z,"Five men have been sentenced to more than a year in federal prison for burning a police car in Georgia during a protest against the killing of George Floyd.
Bruce Anthony Thompson, 23, Jesse James S… [+1648 chars]",fox-news,Fox News
3,Houston Keene,Republicans warn ATF taking 'giant leap toward a federal firearm registry',"Rep. Michael Cloud led colleagues in a letter to acting ATF Director Marvin Richardson on Monday, expressing their concern over a potential backdoor gun registry around Congress’ prohibition.",https://www.foxnews.com/politics/republicans-atf-groundwork-backdoor-federal-gun-registry,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/GettyImages-1231770123.jpg,2021-11-22T15:21:26Z,"A group of House Republicans
 is warning that the Bureau of Alcohol, Tobacco, Firearms and Explosives
 (ATF) could be laying the groundwork for a backdoor federal gun registry
.
Republican Rep. M… [+4281 chars]",fox-news,Fox News
4,The Wall Street Journal,Watchdog finds no misconduct in mistaken Afghan airstrike,An independent Pentagon review has concluded that the U.S. drone strike that killed innocent Kabul civilians and children in the final days of the Afghanistan war,https://www.foxnews.com/politics/watchdog-finds-misconduct-mistaken-afghan-airstrike,https://static.foxnews.com/foxnews.com/content/uploads/2021/09/GettyImages-1235069427.jpg,2021-11-04T01:26:14Z,An independent Pentagon review has concluded that the U.S. drone strike that killed innocent Kabul civilians and children in the final days of the Afghanistan war was not caused by misconduct or negl… [+7287 chars],fox-news,Fox News
5,Emma Colton,Lindsey Graham told police to 'use' their guns against Jan. 6 rioters: 'Take back the Senate!',"Republican Sen. Lindsey Graham urged Capitol police to shoot rioters on Jan. 6, a new report details.",https://www.foxnews.com/politics/lindsey-graham-capitol-police-shoot-jan-6-guns,https://static.foxnews.com/foxnews.com/content/uploads/2021/08/Lindsey-Graham-speaks-about-border-in-Washington-DC-at-Capitol.jpg,2021-11-01T13:39:43Z,"Republican Sen. Lindsey Graham
 urged Capitol
 police to use their guns and regain control of the Capitol on Jan. 6, a new report details. 
""What are you doing? Take back the Senate! You've got gu… [+4089 chars]",fox-news,Fox News
