,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Teny Sahakian,"NYC detectives struggle to keep the peace amid low staffing, lack of support","The head of a New York union for police detectives said low morale, low staffing and a lack of support from leadership has crushed law enforcement.",https://www.foxnews.com/us/new-york-city-detectives-low-staffing-lack-of-support,https://static.foxnews.com/foxnews.com/content/uploads/2021/10/paul-digi.jpg,2021-10-30T12:31:37Z,"New York City detectives are plagued with low morale, low staffing and a lack of support from leadership 18 months after George Floyd's death sparked national backlash against police departments, acc… [+5021 chars]",fox-news,Fox News
1,Louis Casiano,"Kevin Strickland, wrongfully convicted of triple murder, freed after more than four decades in prison",A Missouri man who has spent more than four decades in prison for a triple murder will walk free after a judge exonerated him Tuesday.,https://www.foxnews.com/us/kevin-strickland-convicted-murder-freed,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/Kevin-Strickland-2.jpg,2021-11-23T21:32:22Z,"A Missouri man who has spent more than four decades in prison for a triple murder walked out of prison a free man Tuesday after a judge exonerated him hours earlier.  
The convictions against Kevin … [+4068 chars]",fox-news,Fox News
2,Fox News,"'Your World' on Rittenhouse trial, Gosar censure","Guests: Ted Williams, Andy McCarthy",https://www.foxnews.com/transcript/your-world-rittenhouse-trial-gosar-censure,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/5740cbc4-59b3-44b8-8a1d-9f57fc805da3/2127a247-5557-4649-9774-efa62aa2d162/1280x720/match/image.jpg,2021-11-18T14:45:46Z,"This is a rush transcript of ""Your World"" on November 17, 2021. This copy may not be in its final form and may be updated.
NEIL CAVUTO, FOX NEWS ANCHOR: All right, just to bring you up to speed here… [+25627 chars]",fox-news,Fox News
