,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Keith Magee,Finding Arbery's killers guilty doesn't mean America has healed its racial wounds,What came out during the trial showed the depths of hatred that still poison our society. We will not be cured until we rid our country of racial injustice for good.,https://www.nbcnews.com/think/opinion/guilty-verdicts-ahmaud-arbery-murder-trial-are-bandages-festering-racial-ncna1284579,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_47/3521060/211124-think-ahmaud-arbery-reaction-se-221p.jpg",2021-11-24T21:14:00Z,"Over the past three weeks of the murder trial of the three white men Gregory McMichael, Travis McMichael and William Roddie Bryan charged in the killing of Ahmaud Arbery, Black America has been retra… [+6609 chars]",nbc-news,NBC News
1,"Mushtaq Yusufzai, Saphora Smith",Gunmen kill 3 after row over music playing at wedding party in Afghanistan,"Gunmen opened fire killing three people after forcibly stopping music being played at a wedding ceremony in Afghanistan's Nangarhar province, local residents said.",https://www.nbcnews.com/news/world/gunmen-kill-3-row-music-playing-wedding-party-afghanistan-taliban-blam-rcna4203,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-10/Taliban-f6d192.jpg",2021-10-31T15:38:40Z,"Three people were shot dead at a wedding ceremony in Afghanistans Nangarhar province after a row erupted over whether music could be played, residents said.  
Ten others were injured in Friday's att… [+3467 chars]",nbc-news,NBC News
2,"Antonio Planas, Diana Dasrath, Tim Stelloh",Two suspects sought in Young Dolph's deadly shooting outside Memphis bakery,"Two armed suspects were caught on surveillance cameras Wednesday in the fatal daylight shooting of rapper Young Dolph in Memphis, Tennessee, police said.",https://www.nbcnews.com/news/us-news/two-suspects-sought-young-dolphs-deadly-shooting-memphis-bakery-rcna6070,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211118-rapper-young-dolph-ew-430p-8f3274.jpg",2021-11-18T23:14:40Z,"Two armed suspects in the fatal shooting of rapper Young Dolph outside a well-known bakery in Memphis, Tennesseewere caught on surveillance cameras, police said Thursday.
The assailants got out of a… [+3170 chars]",nbc-news,NBC News
