,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,"Patrick McHale, Yueqi Yang","Columbia, Cornell, Brown Order Evacuations After Bomb Threat","Columbia University, Cornell University and Brown University have issued campus evacuation orders amid reports of bomb threats on Sunday afternoon.",https://www.bloomberg.com/news/articles/2021-11-07/evacuations-ordered-at-columbia-cornell-after-bomb-threats,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/idIZgF8cOEgc/v0/1200x800.jpg,2021-11-07T21:19:13Z,"Columbia University, Cornell University and Brown University have issued campus evacuation orders amid reports of bomb threats on Sunday afternoon. 
Cornell told students and others to avoid its cen… [+1238 chars]",bloomberg,Bloomberg
1,Mohamed Sheikh Nor,Suicide Bomb Targeting Western Officials Kills Five in Somalia,"A suicide bomber rammed a vehicle laden with explosives into a security convoy in Somalia next to the residence of a former president, killing at least five people and wounding more than 20 others.",https://www.bloomberg.com/news/articles/2021-11-25/suicide-bomb-targeting-western-officials-kills-five-in-somalia,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iXcTQ.AwgqbQ/v1/1200x800.jpg,2021-11-25T07:48:50Z,"Sign up to our Next Africa newsletter and 
follow Bloomberg Africa on Twitter
A suicide bomber rammed a vehicle laden with explosives into a security convoy in Somalia next to the residence of a fo… [+780 chars]",bloomberg,Bloomberg
2,Eltaf Najafizada,Unknown Gunmen Storm Kabul Military Hospital; Casualties Seen,Unknown gunmen stormed Afghanistan’s main military hospital in Kabul on Tuesday and battled with Taliban fighters after setting off explosives at the entrance gate in the latest eruption of violence since the U.S. withdrew from the country more than two month…,https://www.bloomberg.com/news/articles/2021-11-02/unknown-gunmen-storm-kabul-military-hospital-casualties-seen,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iFAnmfoB50.k/v1/1200x800.jpg,2021-11-02T10:53:24Z,Unknown gunmen stormed Afghanistans main military hospital in Kabul on Tuesday and battled with Taliban fighters after setting off explosives at the entrance gate in the latest eruption of violence s… [+1065 chars],bloomberg,Bloomberg
