,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,David Marin-Guzman,Cyber attack: Frontier Software payroll company hacked - The Australian Financial Review,"Employers are reeling over the hacking of payroll software popular with large companies, which has thrown thousands of workers’ pay into chaos.",https://www.afr.com/work-and-careers/workplace/pay-in-crisis-as-major-payroll-company-hacked-20211117-p599mr,https://static.ffx.io/images/$zoom_0.2933%2C$multiply_3%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_94/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/888db1ac61e67d890e310cb42a5e397252d87168,2021-11-17T18:52:00Z,"In an email on Monday afternoon, Frontier advised clients who intended to run payroll in the next one to two days that it recommended activating contingency provisions for alternative payroll process… [+3682 chars]",australian-financial-review,Australian Financial Review
1,Andrew Tillett,Critical infrastructure facing cyber security risks - The Australian Financial Review,There has been a big increase in ransomware and cyber crime incidents and the government is keen to protect critical infrastructure.,https://www.afr.com/technology/critical-infrastructure-facing-cyber-security-risks-20211113-p598mn,https://static.ffx.io/images/$zoom_0.2233%2C$multiply_3%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_0/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/7083084890a1cff55666b2f1b8c13ad841d35d12,2021-11-18T19:01:00Z,"Certainly criminals are getting much more sophisticated in their attacks, but in many ways the ease of conducting a cyber attack is significantly greater than the importation of drugs.
At this stage… [+7659 chars]",australian-financial-review,Australian Financial Review
2,Angela Fox,Security alone can't combat the tide of cyber threats - The Australian Financial Review,"A recent survey found that 95 per cent of Australian CEOs view cyber threats as the top threat to growth, compared to 85 per cent globally.",https://www.afr.com/technology/security-alone-can-t-combat-the-tide-of-cyber-threats-20211116-p599cu,https://static.ffx.io/images/$zoom_0.2987%2C$multiply_3%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_94/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/ebe70a1aa3b9692ba87740d96f5ab9a5c874ba64,2021-11-18T19:01:00Z,"PwCs annual CEO survey, released in March, found that 95 per cent of Australian CEOs view cyber threats as the top threat to growth, compared to 85 per cent globally. In previous years, CEOs were far… [+3758 chars]",australian-financial-review,Australian Financial Review
3,Michael Bleby,'Rich' Australia vulnerable to cyber attacks - The Australian Financial Review,"For every one cybercrime incident reported to authorities, at least nine more go unreported, a security expert says.",https://www.afr.com/property/commercial/rich-australia-vulnerable-to-cyber-attacks-20211107-p596mt,https://static.ffx.io/images/$zoom_0.1979%2C$multiply_4%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_0/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/608ec55b2cfeeeb8bcdab777657e39abade60c1b,2021-11-08T07:43:00Z,"Most organisations dont know that they are actually under attack, Ms Price told The Australian Financial Review Infrastructure Summit.
What we do know on the ground in the cyber industry is that for… [+1748 chars]",australian-financial-review,Australian Financial Review
4,"Cheng Lim, Bryony Evans",King & Wood Mallesons says cyber crime needs more than mere reporting to beat ransomware attacks - The Australian Financial Review,"The government wants big businesses to report ransomware incidents, but it should also consider banning them from paying ransoms.",https://www.afr.com/technology/cybercrime-needs-more-than-just-reporting-to-stop-ransomware-attacks-20211124-p59bqs,https://static.ffx.io/images/$zoom_0.5077%2C$multiply_2%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_124/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_opinion_no_age_social_wm/f961389119400b9b8b671a93ad5f408bb8496569,2021-11-24T21:32:00Z,"As a matter of principle, many are sympathetic to the view give in to the criminal and you breed more criminals. It is a vexed question, and even the experts cant agree if this is better or not many … [+2323 chars]",australian-financial-review,Australian Financial Review
5,Agnes King,Cybersecurity back on boardroom agenda - The Australian Financial Review,Boards are coming to terms with the harsh reality that nothing will keep cyber criminals out if they are determined.,https://www.afr.com/technology/big-businesses-veer-towards-war-games-simulation-and-cyber-resilience-20211117-p599ki,https://static.ffx.io/images/$zoom_0.2364%2C$multiply_3%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_0/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/1d49abf0d36b50d3ed9deed947bbf73d043415b3,2021-11-18T20:32:00Z,[They] accept that the likelihood of an attack happening will remain high despite the investment in preventative controls and that the most effective way to treat that residual risk is to reduce the … [+5526 chars],australian-financial-review,Australian Financial Review
6,Max Mason,Skills shortage poses risk to government's cyber strategy - The Australian Financial Review,"The government has  big plans to beef up national cyber security capabilities and toughen up industry, but a lack of skilled professionals risks undermining them.",https://www.afr.com/technology/skills-shortage-poses-risk-to-government-s-cyber-strategy-20211105-p596a3,https://static.ffx.io/images/$zoom_0.2134%2C$multiply_3%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_0/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/c6f019bc318c68b377b88da32fac626d0d52af58,2021-11-15T02:57:00Z,"According to a report by digital learning group Skillsoft, which is listed in New York, IT professionals in the Asia Pacific region had the biggest increase in pay 10 per cent in 2021, compared with … [+2926 chars]",australian-financial-review,Australian Financial Review
7,Christopher Niesche,Talent shortage starts to bite - The Australian Financial Review,"Cyber security jobs are classified into 26 categories, and  there are critical shortages in more than half.",https://www.afr.com/technology/talent-shortage-starts-to-bite-20211117-p599kl,https://static.ffx.io/images/$zoom_0.7479%2C$multiply_2%2C$ratio_1.777778%2C$width_1059%2C$x_173%2C$y_0/t_crop_custom/c_scale%2Cw_800%2Cq_88%2Cf_jpg/t_afr_no_label_no_age_social_wm/195e696dc53b05caa3d853e6b9b662cfa6fefb4b,2021-11-18T20:32:00Z,The roles include IT professionals who have skills in being able to forensically assess and understand whether or not a set of systems have been compromised in the first place. There are also inciden… [+5055 chars],australian-financial-review,Australian Financial Review
